CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;5,000;0,082;0,296;0,075
SP00002;SP;8476,000;5539,000;2937,000;5059,000;2,000;0,040;0,118;0,036
SP00003;SP;6223,000;3562,000;2661,000;3191,000;3,000;0,094;0,178;0,084
SP00004;SP;6071,000;4117,000;1954,000;3653,000;4,000;0,109;0,237;0,097
SP00005;SP;7574,000;4851,000;2723,000;4286,000;3,000;0,070;0,178;0,062
SP00006;SP;6187,000;4196,000;1991,000;3800,000;3,000;0,079;0,178;0,071
SP00007;SP;9748,000;5727,000;4021,000;5077,000;5,000;0,098;0,296;0,087
SP00009;SP;5809,000;3876,000;1933,000;3552,000;3,000;0,084;0,178;0,077
SP00010;SP;9269,000;6039,000;3230,000;5553,000;5,000;0,090;0,296;0,083
SP00011;SP;7822,000;5249,000;2573,000;4769,000;4,000;0,084;0,237;0,076
SP00012;SP;9441,000;6116,000;3325,000;5498,000;5,000;0,091;0,296;0,082
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,059;0,034
SP00014;SP;7153,000;4433,000;2720,000;3934,000;7,000;0,178;0,415;0,158
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,059;0,031
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,059;0,032
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,059;0,024
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,059;0,031
SP00019;SP;4798,000;3546,000;1252,000;3272,000;4,000;0,122;0,237;0,113
SP00020;SP;1562,000;1060,000;502,000;914,000;1,000;0,109;0,059;0,094
SP00021;SP;3914,000;2744,000;1170,000;2386,000;2,000;0,084;0,118;0,073
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,059;0,026
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,059;0,045
SP00026;SP;1515,000;1057,000;458,000;941,000;1,000;0,106;0,059;0,095
SP00027;SP;3011,000;1933,000;1078,000;1784,000;2,000;0,112;0,118;0,103
SP00028;SP;8070,000;5175,000;2895,000;4726,000;2,000;0,042;0,118;0,039
SP00029;SP;17797,000;12599,000;5198,000;11769,000;14,000;0,119;0,829;0,111
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,059;0,052
SP00031;SP;6412,000;4268,000;2144,000;3816,000;2,000;0,052;0,118;0,047
